Variable,Description,,,,,,,,,,,,,,,,,,
AmountDelinquent,Dollars delinquent at the time the credit profile was pulled.,,,,,,,,,,,,,,,,,,
DelinquenciesLast7Years,Number of delinquencies in the past 7 years at the time the credit profile was pulled.,,,,,,,,,,,,,,,,,,
PublicRecordsLast10Years,Number of public records in the past 10 years at the time the credit profile was pulled.,,,,,,,,,,,,,,,,,,
PublicRecordsLast12Months,Number of public records in the past 12 months at the time the credit profile was pulled.,,,,,,,,,,,,,,,,,,
RevolvingCreditBalance,Dollars of revolving credit at the time the credit profile was pulled.,,,,,,,,,,,,,,,,,,
TotalTrades,Number of trade lines ever opened at the time the credit profile was pulled.,,,,,,,,,,,,,,,,,,
TradesNeverDelinquent,Number of trades that have never been delinquent at the time the credit profile was pulled.,,,,,,,,,,,,,,,,,,
TradesOpenedLast6Months,Number of trades opened in the last 6 months at the time the credit profile was pulled.,,,,,,,,,,,,,,,,,,
DebtToIncomeRatio,The debt to income ratio of the borrower at the time the credit profile was pulled. This value is Null if the debt to income ratio is not available. This value is capped at 10.01 (any debt to income ratio larger than 1000% will be returned as 1001%).,,,,,,,,,,,,,,,,,,
IncomeRange,The income range of the borrower at the time the listing was created.,,,,,,,,,,,,,,,,,,
IncomeVerifiable,The borrower indicated they have the required documentation to support their income.,,,,,,,,,,,,,,,,,,
StatedMonthlyIncome,The monthly income the borrower stated at the time the listing was created.,,,,,,,,,,,,,,,,,,
TotalProsperLoans,Number of Prosper loans the borrower at the time they created this listing. This value will be null if the borrower had no prior loans.,,,,,,,,,,,,,,,,,,
TotalProsperPaymentsBilled,Number of on time payments the borrower made on Prosper loans at the time they created this listing. This value will be null if the borrower had no prior loans.,,,,,,,,,,,,,,,,,,
OnTimeProsperPayments,Number of on time payments the borrower had made on Prosper loans at the time they created this listing. This value will be null if the borrower has no prior loans.,,,,,,,,,,,,,,,,,,
ProsperPaymentsLessThanOneMonthLate,Number of payments the borrower made on Prosper loans that were less than one month late at the time they created this listing. This value will be null if the borrower had no prior loans.,,,,,,,,,,,,,,,,,,
ProsperPaymentsOneMonthPlusLate,Number of payments the borrower made on Prosper loans that were greater than one month late at the time they created this listing. This value will be null if the borrower had no prior loans.,,,,,,,,,,,,,,,,,,
ProsperPrincipalBorrowed,Total principal borrowed on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.,,,,,,,,,,,,,,,,,,
LoanCurrentDaysDelinquent,The number of days delinquent.,,,,,,,,,,,,,,,,,,
LoanFirstDefaultedCycleNumber,The cycle the loan was charged off. If the loan has not charged off the value will be null.,,,,,,,,,,,,,,,,,,
LoanMonthsSinceOrigination,Number of months since the loan originated.,,,,,,,,,,,,,,,,,,
LoanOriginalAmount,The origination amount of the loan.,,,,,,,,,,,,,,,,,,
LoanOriginationDate,The date the loan was originated.,,,,,,,,,,,,,,,,,,
MonthlyLoanPayment,The scheduled monthly loan payment.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
